Taxonomy	LPS_1	LPS_2	LPS_3	LPS_4	LPS_5	LPS+BS_1	LPS+BS_2	LPS+BS_3	LPS+BS_4	LPS+BS_5	Mock_1	Mock_2	Mock_3	Mock_4	Mock_5
Others	0	0.000871422	0	0	4.32844E-05	0.000303043	0.000216254	0.00188577	0.001554438	0.001424471	2.14174E-05	0.000557426	0.001525242	0.001051277	0.001031304
p__unidentified_Bacteria	0.001546824	0.003659971	0.000993606	0.001361426	0.001493313	6.49379E-05	4.32507E-05	0.001127127	0.001209007	0.001035979	0.018932985	0.005102588	0.004919441	0.005127655	0.004683841
p__Actinobacteriota	0.005177562	0.018953423	0.004341628	0.004775797	0.004047093	0.003528291	0.003460058	0.006220874	0.004965565	0.005309391	0.012529181	0.001607958	0.002706767	0.002166917	0.002384891
p__Deferribacterota	0.010548478	0.001176419	0.012852082	0.014111291	0.014803272	0.001428633	0.001340772	0.003012897	0.003799737	0.003841754	0.001691975	0.003451751	0.005671321	0.006565115	0.006810906
p__Actinobacteria	0.001353471	0.003485687	0.002224814	0.002377093	0.002294074	0.027750119	0.029756498	0.019269535	0.01912822	0.017417391	0.0082457	0.001264927	0.002534909	0.003003647	0.00234192
p__Campylobacterota	0.004017445	0.000239641	0.003996026	0.005013506	0.004674718	0.06368241	0.067081874	0.027918067	0.025453917	0.028532579	0	0.001672277	0.00141783	0.001480369	0.001697355
p__Desulfobacterota	0.049498356	0.031741536	0.062337999	0.064095084	0.061247457	0.084484177	0.084663293	0.047881218	0.044560548	0.046446377	0.010858624	0.01041957	0.015767991	0.015897876	0.015125798
p__Proteobacteria	0.255848927	0.004487822	0.08128132	0.079546191	0.076202225	0.208363998	0.206954716	0.025945594	0.025648222	0.024021756	4.28348E-05	0.572754754	0.147175081	0.136837589	0.136304063
p__Verrucomicrobiota	0.065267364	0.031545466	0.034149819	0.035699622	0.034714106	0.24622278	0.272912071	0.105711499	0.096051296	0.119504457	0.692488916	0.043479193	0.298367347	0.324758635	0.309928453
p__Firmicutes	0.136807958	0.468214893	0.208981337	0.211107509	0.210210795	0.104203645	0.096211237	0.229478704	0.223299294	0.216886452	0.165706453	0.102780696	0.128055854	0.128663377	0.127043809
p__Bacteroidota	0.469933615	0.43562372	0.588841369	0.58191248	0.590269662	0.259967964	0.237359976	0.531548716	0.554329757	0.535579393	0.089481913	0.256908861	0.391858217	0.374447543	0.392647659
