Taxonomy	LPS_1	LPS_2	LPS_3	LPS_4	LPS_5	LPS+BS_1	LPS+BS_2	LPS+BS_3	LPS+BS_4	LPS+BS_5	Mock_1	Mock_2	Mock_3	Mock_4	Mock_5
g__Bifidobacterium	0.001353471	0.003485687	0.002224814	0.002377093	0.002294074	0.027750119	0.029756498	0.019269535	0.01912822	0.017417391	0.0082457	0.001264927	0.002534909	0.003003647	0.00234192
g__Alloprevotella	0.000171869	0.004357109	4.32003E-05	6.48298E-05	4.32844E-05	0.035088099	0.031486527	0.031147719	0.030225178	0.028662077	0	0	0	0	0
g__Alistipes	0.004919759	0.010914557	0.004341628	0.004213938	0.00489114	0.002316118	0.002205787	0.020483364	0.019257756	0.015194354	0.008010109	0.021889673	0.031149302	0.027268826	0.03065982
g__Helicobacter	0.004017445	0.000239641	0.003996026	0.005013506	0.004674718	0.06368241	0.067081874	0.027918067	0.025453917	0.028532579	0	0.001672277	0.00141783	0.001480369	0.001697355
g__Bacteroides	0.009646164	0.04834212	0.011815276	0.010156672	0.011362161	0.01049829	0.010596427	0.017730573	0.017724908	0.015172771	0.003576706	0.021761036	0.026122449	0.025080455	0.028253443
g__Dubosiella	0.005521301	0.15304344	0.011685675	0.0110859	0.013223391	0.000844192	0.000670386	0.001192153	0.00110106	0.001079144	0.063416933	0.007482366	0.013533835	0.012400772	0.010742754
g__unidentified_Enterobacteriaceae	0.000257804	0.001786415	0	4.32199E-05	6.49266E-05	0.186436642	0.188140651	0.00019508	0.000280662	0.000215829	0	0	0	0	0
g__Parabacteroides	0.024813629	0.029040129	0.027734578	0.025996759	0.027204259	0.11504827	0.107196921	0.094787038	0.099786265	0.092871172	0.000257009	0.007375169	0.009344791	0.008474576	0.008937971
g__Stenotrophomonas	0.238318259	0	0.070524451	0.06910859	0.065640826	0	0	0.011618077	0.01066517	0.010791445	0	0.547777802	0.132094522	0.121476078	0.122231055
g__Akkermansia	0.065267364	0.031545466	0.034149819	0.035699622	0.034714106	0.24622278	0.272912071	0.105711499	0.096051296	0.119504457	0.692488916	0.043479193	0.298367347	0.324758635	0.309928453
Others	0.645712935	0.717245436	0.833484534	0.83623987	0.835887114	0.312113078	0.289952857	0.669946895	0.680325568	0.670558781	0.224004626	0.347297558	0.485435016	0.47605664	0.485207228
