Sample	PCoA1	PCoA2	PCoA3	PCoA4	PCoA5	PCoA6	PCoA7	PCoA8	PCoA9	PCoA10	PCoA11	PCoA12	PCoA13	PCoA14
LPS_1	-0.011659977	-0.22627621	-0.096189086	0.007776571	0.067588487	-0.022090776	0.027867128	-0.057825644	-0.051414812	0.028734367	-5.89E-04	0.017996877	-0.004646495	7.46E-04
LPS_2	0.007900331	-0.173320069	0.030467497	-0.038917273	-0.181740471	-0.004027993	0.009474142	-0.018355448	-0.015420023	0.003919386	-0.007772191	0.001724047	0.002373	-3.86E-04
LPS_3	-0.016560774	-0.211934404	-0.102822096	3.44E-04	0.012950622	0.007496059	0.01384322	0.031376441	0.00989859	0.020517766	0.022486019	-0.023390426	0.001423594	-0.024111951
LPS_4	-0.023637548	-0.220736178	-0.117541968	0.005147113	0.018344666	-0.001102842	-0.028130032	0.051944647	-9.30E-04	0.011004904	-0.016347485	-0.012396518	0.013444103	0.023222686
LPS_5	-0.014319525	-0.214232876	-0.107157855	-0.010836215	0.01304333	0.022054072	-0.008948345	-0.011306372	0.047464234	-0.066324722	-1.70E-04	0.017924244	-0.010043905	-0.001206487
LPS+BS_1	0.396326037	0.26940317	-0.101193514	-0.004039441	-0.00713805	0.054626648	0.094852229	0.018664617	0.00633617	0.006072826	8.14E-05	0.009927912	0.008275117	0.00241296
LPS+BS_2	0.413180464	0.249458749	-0.1294276	0.023717004	-0.013831369	-0.045835288	-0.093937076	-0.021135956	-0.01044163	-0.004805526	8.12E-04	-0.007906212	-0.006391296	-0.002620537
LPS+BS_3	0.18398097	-0.0491669	0.199813405	-0.015237354	0.030674379	-0.04050453	0.003835822	0.045312452	-0.049060344	-0.045063084	0.009809259	0.005518739	0.008480823	-0.004013525
LPS+BS_4	0.182186445	-0.075314561	0.179890386	-0.005382155	0.01052625	-0.009173681	-0.035016118	0.010607873	0.048242356	0.050589178	0.019751767	0.020435157	-0.003505818	0.003017605
LPS+BS_5	0.187816346	-0.071117782	0.179968159	0.038328541	0.034212557	0.038169808	0.024217475	-0.045511593	0.013853447	-0.006292008	-0.028296428	-0.02909701	-0.00810789	0.002630561
Mock_1	-0.217256756	0.181131784	0.006554897	-0.210118271	0.033488863	-0.00723109	-0.004382549	-0.007594902	0.003673786	0.004320046	-0.007150669	-0.006464489	-0.003464031	5.27E-04
Mock_2	-0.271601532	0.150374033	-0.005104281	0.06631054	-0.007253456	-0.128382803	0.05619079	-0.002120364	0.029429423	-0.002977523	-0.004850691	-0.003098242	0.001045159	0.00158324
Mock_3	-0.271145445	0.129809677	0.01762712	0.041532629	-0.016133308	0.047723505	9.80E-04	-0.009181436	-0.017722141	-0.009678188	0.052727858	-0.009880318	-0.013008734	0.012907507
Mock_4	-0.271616584	0.135586901	0.014482458	0.05776985	-0.006076385	0.042188042	-0.020227431	0.047286287	-0.018863744	0.012975909	-0.035796237	0.012140805	-0.022361647	-0.007619695
Mock_5	-0.273592453	0.126334667	0.030632477	0.043604515	0.011343885	0.046090869	-0.040619111	-0.032160602	0.004954678	-0.002993331	-0.004695491	0.006565433	0.036488022	-0.007089904
