Genus	LPS_1	LPS_2	LPS_3	LPS_4	LPS_5	LPS+BS_1	LPS+BS_2	LPS+BS_3	LPS+BS_4	LPS+BS_5	Mock_1	Mock_2	Mock_3	Mock_4	Mock_5
Akkermansia	0.065267364	0.031545466	0.034149819	0.035699622	0.034714106	0.24622278	0.272912071	0.105711499	0.096051296	0.119504457	0.692488916	0.043479193	0.298367347	0.324758635	0.309928453
Stenotrophomonas	0.238318259	0	0.070524451	0.06910859	0.065640826	0	0	0.011618077	0.01066517	0.010791445	0	0.547777802	0.132094522	0.121476078	0.122231055
Parabacteroides	0.024813629	0.029040129	0.027734578	0.025996759	0.027204259	0.11504827	0.107196921	0.094787038	0.099786265	0.092871172	0.000257009	0.007375169	0.009344791	0.008474576	0.008937971
unidentified_Enterobacteriaceae	0.000257804	0.001786415	0	4.32199E-05	6.49266E-05	0.186436642	0.188140651	0.00019508	0.000280662	0.000215829	0	0	0	0	0
Dubosiella	0.005521301	0.15304344	0.011685675	0.0110859	0.013223391	0.000844192	0.000670386	0.001192153	0.00110106	0.001079144	0.063416933	0.007482366	0.013533835	0.012400772	0.010742754
Bacteroides	0.009646164	0.04834212	0.011815276	0.010156672	0.011362161	0.01049829	0.010596427	0.017730573	0.017724908	0.015172771	0.003576706	0.021761036	0.026122449	0.025080455	0.028253443
Helicobacter	0.004017445	0.000239641	0.003996026	0.005013506	0.004674718	0.06368241	0.067081874	0.027918067	0.025453917	0.028532579	0	0.001672277	0.00141783	0.001480369	0.001697355
Alistipes	0.004919759	0.010914557	0.004341628	0.004213938	0.00489114	0.002316118	0.002205787	0.020483364	0.019257756	0.015194354	0.008010109	0.021889673	0.031149302	0.027268826	0.03065982
Alloprevotella	0.000171869	0.004357109	4.32003E-05	6.48298E-05	4.32844E-05	0.035088099	0.031486527	0.031147719	0.030225178	0.028662077	0	0	0	0	0
Bifidobacterium	0.001353471	0.003485687	0.002224814	0.002377093	0.002294074	0.027750119	0.029756498	0.019269535	0.01912822	0.017417391	0.0082457	0.001264927	0.002534909	0.003003647	0.00234192
Ligilactobacillus	0.001890562	0.022003399	0.003412822	0.003263101	0.003549323	0.048400364	0.043077722	0.004140024	0.004382651	0.003388514	0.001927566	0.00038591	0.000537057	0.000321819	0.000515652
unidentified_Lachnospiraceae	0.014974112	0.009324212	0.025401763	0.025262021	0.025559451	2.1646E-05	6.48761E-05	0.005202124	0.005354174	0.005417305	0.001606305	0.001950989	0.002255639	0.002488736	0.002470833
Allobaculum	0	2.17855E-05	0	0	0	0.030174466	0.027572337	0.022174054	0.022539347	0.022575702	0	0	0	0	0
Delftia	0.015468236	0	0.008380854	0.008730416	0.008830022	0	2.16254E-05	0.006437629	0.006282519	0.005762631	0	0.023583389	0.0132116	0.013216048	0.011473261
Odoribacter	0.002191333	0.005097817	0.002095213	0.002096164	0.00225079	0.000303043	0.000800138	0.001387233	0.001856689	0.001467636	0.008181448	0.020367472	0.022148228	0.021561897	0.021700363
Mucispirillum	0.010548478	0.001176419	0.012852082	0.014111291	0.014803272	0.001428633	0.001340772	0.003012897	0.003799737	0.003841754	0.001691975	0.003451751	0.005671321	0.006565115	0.006810906
Colidextribacter	0.005542785	0.010043135	0.006955245	0.008146948	0.006838939	0.000129876	0.000194628	0.010447599	0.010514044	0.008719487	0.001285044	0.004437965	0.005112782	0.005320747	0.005178007
Ileibacterium	0.009452811	0.005642456	0.02350095	0.021372231	0.022745964	0.001969782	0.001946283	0.000390159	0.000863577	0.000561155	0	0	0	0	0
Parasutterella	0.001804628	0.00200427	0.002289615	0.001555916	0.001579881	0.021884064	0.01879244	0.007022868	0.007534705	0.006323787	4.28348E-05	0.001093412	0.001288937	0.001523278	0.001804783
Limosilactobacillus	0.000171869	0.004052111	8.64006E-05	0.00015127	0.000129853	0.013485432	0.014553869	0.006936166	0.006714307	0.006280621	0.012721938	0.000986214	0.001117078	0.001802188	0.001568442
Turicibacter	0.004726406	0.002505337	0.006868844	0.006158833	0.006059819	0.000151522	8.65014E-05	0.001755717	0.00220212	0.001769797	0.014585252	0.001114851	0.001525242	0.001566188	0.001654384
