Taxonomy	mean(group1)	variance(group1)	stderr(group1)	mean(group2)	variance(group2)	stderr(group2)	p.value	q.value	LPS_1	LPS_2	LPS_3	LPS_4	LPS_5	LPS+BS_1	LPS+BS_2	LPS+BS_3	LPS+BS_4	LPS+BS_5
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Alloprevotella	0.000936	0.000004	0.000856	0.031322	0.000006	0.001061	0	0	8	200	2	3	2	1621	1456	1437	1400	1328
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides	0.026958	0.000003	0.000725	0.101938	0.000084	0.004108	0.000088	0.002552	1155	1333	1284	1203	1257	5315	4957	4373	4622	4303
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Allobaculum	0.000004	0	0.000004	0.025007	0.000013	0.001633	0.000175	0.003383333	0	1	0	0	0	1394	1275	1023	1044	1046
k__Bacteria;p__Actinobacteria;c__unidentified_Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium	0.002347	0.000001	0.000339	0.022664	0.000032	0.002527	0.000351	0.0040716	63	160	103	110	106	1282	1376	889	886	807
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__Butyricicoccaceae;g__unidentified_Butyricicoccaceae	0.000805	0	0.000091	0.000017	0	0.000017	0.000351	0.0040716	33	51	36	26	40	0	0	0	4	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea	0.000705	0	0.000111	0	0	0	0.000439	0.004243667	27	16	41	45	34	0	0	0	0	0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium	0.002491	0.000001	0.000394	0.000052	0	0.000018	0.000526	0.004358286	73	69	152	147	135	0	1	3	4	4
k__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfovibrio	0.004183	0.000002	0.000644	0.000342	0	0.000034	0.000649	0.00470525	180	82	238	235	233	18	10	16	19	16
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__unidentified_Lachnospiraceae	0.020104	0.000057	0.003369	0.003212	0.000008	0.001294	0.000877	0.005597	697	428	1176	1169	1181	1	3	240	248	251
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__Ruminococcaceae;g__Anaerotruncus	0.00156	0	0.000254	0.00032	0	0.000082	0.000965	0.005597	73	31	73	80	104	3	10	17	19	25
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum	0.001012	0	0.000057	0.000363	0	0.000129	0.00107	0.005641818	40	41	50	53	50	5	0	27	29	23
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Turicibacter	0.005264	0.000003	0.000772	0.001193	0.000001	0.000446	0.001175	0.005679167	220	115	318	285	280	7	4	81	102	82
k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__unidentified_Muribaculaceae	0.000874	0	0.000108	0.000255	0	0.000089	0.001649	0.007121571	22	40	44	52	44	2	2	17	16	22
k__Bacteria;p__Firmicutes;c__Clostridia;o__unidentified_Clostridia;f__Ruminococcaceae;g__Negativibacillus	0.002219	0	0.0001	0.000769	0	0.000314	0.001719	0.007121571	91	96	113	114	99	2	2	44	74	56
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus	0.000918	0.000003	0.000784	0.009594	0.000017	0.001818	0.001947	0.0075284	8	186	4	7	6	623	673	320	311	291
k__Bacteria;p__Campylobacterota;c__unidentified_Campylobacterota;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter	0.003588	0.000004	0.00086	0.042534	0.000438	0.009357	0.002175	0.007884375	187	11	185	232	216	2942	3102	1288	1179	1322
k__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Ileibacterium	0.016543	0.00007	0.003737	0.001146	0.000001	0.00034	0.002614	0.008918353	440	259	1088	989	1051	91	90	18	40	26
k__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae;g__Monoglobus	0.000242	0	0.000052	0.00003	0	0.000019	0.003877	0.012492556	15	5	6	13	17	0	0	4	0	3
k__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia	0.040275	0.000198	0.006286	0.16808	0.007133	0.037771	0.010053	0.030688105	3038	1448	1581	1652	1604	11375	12620	4877	4449	5537
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia	0.001015	0	0.000305	0.000043	0	0.000027	0.012526	0.03292776	42	0	44	85	64	0	0	0	4	6
k__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia	0.001659	0.000001	0.000525	0	0	0	0.013158	0.03292776	40	3	114	135	92	0	0	0	0	0
