Gene id	MeanTPM (G45A-OE)	MeanTPM (CON)	log2FoldChange	pValue	qValue	result
A1BG	0.378598333	0.324622	0.221907284	0.854070251	0.911021081	-
A1CF	0.0001	0.0001	0	1	1	-
A2M	0.036806	0.0001	8.523797159	0.015655544	0.036350731	-
A2ML1	0.004963667	0.004982333	-0.00541531	0.981695202	1	-
A3GALT2	0.823359	0.851502333	-0.048488873	0.749985802	0.839368517	-
A4GALT	32.82854133	39.68055233	-0.273481459	3.06E-05	0.000123275	-
A4GNT	0.235634333	0.120909667	0.962620172	0.085114015	0.157525063	-
AAAS	26.96070033	52.22133867	-0.953781468	2.35E-27	8.22E-26	-
AACS	9.610193	9.746165333	-0.020269292	0.305172482	0.439373588	-
AADACL2	0.0001	0.0001	0	1	1	-
AADACL3	0.0001	0.0001	0	1	1	-
AADACL4	0.0001	0.0001	0	1	1	-
AADAT	0.0001	0.0001	0	1	1	-
AAED1	5.461302	9.731836667	-0.83346717	5.03E-12	4.66E-11	-
AAGAB	29.937814	33.88050967	-0.178486695	0.343767613	0.482034366	-
AAK1	3.743907	2.985672	0.326488916	0.104175547	0.186475601	-
AAMDC	15.082223	12.26675433	0.29809551	0.30426314	0.43832959	-
AAMP	40.22208267	62.88488767	-0.644725569	1.20E-17	1.92E-16	-
AAR2	16.44502933	15.94198633	0.044820185	0.400869421	0.541567714	-
AARD	0.0001	0.0001	0	1	1	-
AARS	63.57855867	82.54477933	-0.376636662	1.35E-11	1.20E-10	-
AARS2	11.785708	11.74635767	0.004824955	0.33035919	0.466878108	-
AARSD1	63.551534	90.40807867	-0.508524745	1.88E-14	2.19E-13	-
AASDH	12.45263	9.739073	0.354594109	0.012869646	0.03060641	-
AASDHPPT	41.381396	39.42455667	0.069887783	0.596497082	0.71667752	-
AASS	3.179829667	1.720411	0.886196226	2.22E-05	9.10E-05	-
AATF	22.753453	34.750216	-0.610936444	6.41E-13	6.51E-12	-
AATK	1.784266667	1.462214	0.287176779	0.291690105	0.424385661	-
ABAT	0.402679	0.870130333	-1.111601276	0.020680669	0.046410816	-
ABCA1	1.004213667	0.753331	0.414710461	0.080487978	0.15032267	-
ABCA12	0.044196333	0.003933667	3.489980068	0.011304558	0.027287572	-
ABCA2	8.424554	7.322700333	0.202224554	0.271879744	0.401554231	-
ABCA3	3.319530667	1.683780667	0.979275058	3.49E-11	2.96E-10	-
ABCA4	2.430685667	1.504678333	0.691908234	0.000285159	0.000965666	-
ABCA5	5.736913667	7.074973667	-0.302449971	0.000106784	0.000391341	-
ABCA6	0.0001	0.0001	0	1	1	-
ABCA7	5.225695333	2.419154333	1.111120205	5.80E-13	5.92E-12	up
ABCB1	8.169646	6.928149333	0.237803539	0.193013007	0.306985511	-
ABCB10	8.157293	10.93654367	-0.42299449	1.77E-06	8.42E-06	-
ABCB11	0.011141	0.029156	-1.387914073	0.306948265	0.44129609	-
ABCB4	0.114220667	0.046134667	1.307900572	0.081935854	0.152577674	-
ABCB5	0.0001	0.0001	0	1	1	-
ABCB6	22.48136633	16.08100667	0.483371998	0.00013944	0.000500989	-
ABCB7	25.60694	24.41826867	0.068573951	0.68230805	0.788473393	-
ABCB8	24.39887867	24.327796	0.004209222	0.259276898	0.387480235	-
ABCB9	4.076651333	2.345557333	0.797453806	9.14E-05	0.000339413	-
ABCC1	7.207260667	6.730655667	0.098703973	0.940101851	0.965514121	-
ABCC10	4.212611333	4.130930333	0.028248085	0.738042677	0.830838154	-
ABCC11	0.250300333	0.085243667	1.553995657	0.005410441	0.014064642	-
ABCC12	0.002393	0.0001	4.580748492	0.643745421	1	-
ABCC2	0.257523	0.065569333	1.973608157	9.92E-06	4.28E-05	-
ABCC3	75.40432233	53.98196133	0.482169829	1.18E-07	6.58E-07	-
ABCC4	16.588934	9.215073	0.848153682	2.20E-13	2.33E-12	-
ABCC5	4.607530333	3.921483333	0.232594195	0.031555694	0.067143152	-
ABCC6	1.682188333	0.460355	1.869520514	7.26E-14	8.03E-13	-
ABCC8	7.724711667	8.680297333	-0.168263377	0.008339042	0.020765786	-
ABCC9	0.00382	0.0001	5.255500733	0.603105337	1	-
ABCD1	27.08329267	32.26271567	-0.252464734	0.000151818	0.000541881	-
ABCD2	0.056218333	0.023891667	1.234533185	0.341985301	0.479960615	-
ABCD3	38.981393	47.19722233	-0.27591631	9.98E-05	0.000367456	-
ABCD4	9.069724333	9.640696333	-0.088078652	0.114307474	0.201373695	-
ABCE1	93.04006433	94.16445133	-0.017330427	0.113161034	0.199612665	-
ABCF1	32.12877767	37.742373	-0.232319038	0.000486151	0.001574327	-
