id	Description	Significant	Annotated	Pvalue	Qvalue	Signi_id	Signi_symbol
ko04612	Antigen processing and presentation	9/185	55/6035	3.70E-05	0.007632252	"CD74(3.28927937988),HSP70.2(1.30526719848),HSPA6(1.13880044068),SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702),TAP1(1.0321993922)"	"CD74(3.28927937988),HSP70.2(1.30526719848),HSPA6(1.13880044068),SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702),TAP1(1.0321993922)"
ko04512	ECM-receptor interaction	10/185	79/6035	0.00013185	0.010456324	"AGRN(1.44741402272),COL1A1(1.29297876392),COL6A2(2.26470762237),FN1(1.62392348378),ITGA7(2.14767627267),ITGB6(3.65140434079),LAMA3(1.30113026142),LAMB3(1.11738505178),SDC1(1.32752189002),SPP1(2.1523980419)"	"AGRN(1.44741402272),COL1A1(1.29297876392),COL6A2(2.26470762237),FN1(1.62392348378),ITGA7(2.14767627267),ITGB6(3.65140434079),LAMA3(1.30113026142),LAMB3(1.11738505178),SDC1(1.32752189002),SPP1(2.1523980419)"
ko05204	Chemical carcinogenesis	7/185	39/6035	0.000152043	0.010456324	"ALDH3A1(1.09899768484),CYP1A1(2.36678609134),CYP2C33(4.75082889348),CYP3A22(1.19034391928),GSTA1(2.14367693497),PTGS2(1.55532095758),SULT2A1(4.37091575313)"	"ALDH3A1(1.09899768484),CYP1A1(2.36678609134),CYP2C33(4.75082889348),CYP3A22(1.19034391928),GSTA1(2.14367693497),PTGS2(1.55532095758),SULT2A1(4.37091575313)"
ko05145	Toxoplasmosis	11/185	102/6035	0.000261293	0.013477231	"HSP70.2(1.30526719848),HSPA6(1.13880044068),JAK2(1.16750657076),LAMA3(1.30113026142),LAMB3(1.11738505178),NFKBIA(1.17865304471),PPIF(1.67758411457),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"HSP70.2(1.30526719848),HSPA6(1.13880044068),JAK2(1.16750657076),LAMA3(1.30113026142),LAMB3(1.11738505178),NFKBIA(1.17865304471),PPIF(1.67758411457),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko04068	FoxO signaling pathway	12/185	124/6035	0.000381966	0.015761132	"BCL2L11(1.43383708122),CCNG2(1.88353997123),CDKN2D(1.07350779294),FBXO32(2.5533984502),FOXO6(1.16490576755),GABARAPL1(1.71241442719),GADD45A(2.40324896668),GADD45B(1.50050383027),GADD45G(1.84006869182),PCK1(1.14395641789),S1PR1(1.15221988743),TNFSF10(1.21410069906)"	"BCL2L11(1.43383708122),CCNG2(1.88353997123),CDKN2D(1.07350779294),FBXO32(2.5533984502),FOXO6(1.16490576755),GABARAPL1(1.71241442719),GADD45A(2.40324896668),GADD45B(1.50050383027),GADD45G(1.84006869182),PCK1(1.14395641789),S1PR1(1.15221988743),TNFSF10(1.21410069906)"
ko04115	p53 signaling pathway	8/185	63/6035	0.00061278	0.021071046	"BBC3(2.4145500821),CCNG2(1.88353997123),GADD45A(2.40324896668),GADD45B(1.50050383027),GADD45G(1.84006869182),PMAIP1(1.17643056041),SERPINE1(1.11662825218),SESN2(1.33177927155)"	"BBC3(2.4145500821),CCNG2(1.88353997123),GADD45A(2.40324896668),GADD45B(1.50050383027),GADD45G(1.84006869182),PMAIP1(1.17643056041),SERPINE1(1.11662825218),SESN2(1.33177927155)"
ko05164	Influenza A	12/185	142/6035	0.001290899	0.038047555	"CCL5(2.09464524107),CXCL10(1.00277704569),HSP70.2(1.30526719848),HSPA6(1.13880044068),IRF9(1.22284014357),JAK2(1.16750657076),NFKBIA(1.17865304471),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702),TNFSF10(1.21410069906)"	"CCL5(2.09464524107),CXCL10(1.00277704569),HSP70.2(1.30526719848),HSPA6(1.13880044068),IRF9(1.22284014357),JAK2(1.16750657076),NFKBIA(1.17865304471),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702),TNFSF10(1.21410069906)"
ko05332	Graft-versus-host disease	5/185	31/6035	0.002277955	0.052063831	"SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko05140	Leishmaniasis	7/185	61/6035	0.002444132	0.052063831	"JAK2(1.16750657076),NFKBIA(1.17865304471),PTGS2(1.55532095758),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"JAK2(1.16750657076),NFKBIA(1.17865304471),PTGS2(1.55532095758),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko05162	Measles	10/185	116/6035	0.00280412	0.052063831	"BBC3(2.4145500821),HSP70.2(1.30526719848),HSPA6(1.13880044068),IL2RG(1.99337272205),IRF9(1.22284014357),JAK2(1.16750657076),NFKBIA(1.17865304471),RAB9A(1.02248200059),TNFAIP3(1.06419717467),TNFSF10(1.21410069906)"	"BBC3(2.4145500821),HSP70.2(1.30526719848),HSPA6(1.13880044068),IL2RG(1.99337272205),IRF9(1.22284014357),JAK2(1.16750657076),NFKBIA(1.17865304471),RAB9A(1.02248200059),TNFAIP3(1.06419717467),TNFSF10(1.21410069906)"
ko05323	Rheumatoid arthritis	8/185	80/6035	0.002945989	0.052063831	"ATP6V0A1(1.23163951146),CCL3L1(3.59126992356),CCL5(2.09464524107),CTSK(1.90981159593),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"ATP6V0A1(1.23163951146),CCL3L1(3.59126992356),CCL5(2.09464524107),CTSK(1.90981159593),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko05330	Allograft rejection	5/185	33/6035	0.003028202	0.052063831	"SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko05310	Asthma	4/185	21/6035	0.003397893	0.053926076	"SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko04210	Apoptosis	10/185	124/6035	0.004543424	0.066955719	"BBC3(2.4145500821),BCL2L11(1.43383708122),CTSK(1.90981159593),DDIT3(1.91046969244),GADD45A(2.40324896668),GADD45B(1.50050383027),GADD45G(1.84006869182),NFKBIA(1.17865304471),PMAIP1(1.17643056041),TNFSF10(1.21410069906)"	"BBC3(2.4145500821),BCL2L11(1.43383708122),CTSK(1.90981159593),DDIT3(1.91046969244),GADD45A(2.40324896668),GADD45B(1.50050383027),GADD45G(1.84006869182),NFKBIA(1.17865304471),PMAIP1(1.17643056041),TNFSF10(1.21410069906)"
ko04060	Cytokine-cytokine receptor interaction	14/185	218/6035	0.006790825	0.08572893	"ACVR1(1.43898671695),ACVR2B(1.1493734209),CCL3L1(3.59126992356),CCL4(2.50728362427),CCL5(2.09464524107),CCR7(1.84254015087),CXCL10(1.00277704569),IL13RA1(1.1758617807),IL2RG(1.99337272205),IL6R(1.09981069263),KDR(1.90495530896),NGFR(2.89834916686),THPO(1.15318667264),TNFSF10(1.21410069906)"	"ACVR1(1.43898671695),ACVR2B(1.1493734209),CCL3L1(3.59126992356),CCL4(2.50728362427),CCL5(2.09464524107),CCR7(1.84254015087),CXCL10(1.00277704569),IL13RA1(1.1758617807),IL2RG(1.99337272205),IL6R(1.09981069263),KDR(1.90495530896),NGFR(2.89834916686),THPO(1.15318667264),TNFSF10(1.21410069906)"
ko04672	Intestinal immune network for IgA production	5/185	40/6035	0.007063889	0.08572893	"MADCAM1(1.21288923676),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"MADCAM1(1.21288923676),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko04940	Type I diabetes mellitus	5/185	40/6035	0.007063889	0.08572893	"SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko05320	Autoimmune thyroid disease	5/185	41/6035	0.007849502	0.089970905	"SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko05168	Herpes simplex infection	11/185	159/6035	0.009339989	0.101420376	"CCL5(2.09464524107),CD74(3.28927937988),IRF9(1.22284014357),JAK2(1.16750657076),NFKBIA(1.17865304471),SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702),TAP1(1.0321993922)"	"CCL5(2.09464524107),CD74(3.28927937988),IRF9(1.22284014357),JAK2(1.16750657076),NFKBIA(1.17865304471),SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702),TAP1(1.0321993922)"
ko00980	Metabolism of xenobiotics by cytochrome P450	4/185	28/6035	0.009837969	0.101486419	"ALDH3A1(1.09899768484),CYP1A1(2.36678609134),GSTA1(2.14367693497),SULT2A1(4.37091575313)"	"ALDH3A1(1.09899768484),CYP1A1(2.36678609134),GSTA1(2.14367693497),SULT2A1(4.37091575313)"
ko04215	Apoptosis - multiple species	4/185	30/6035	0.012557568	0.116518226	"BBC3(2.4145500821),BCL2L11(1.43383708122),NGFR(2.89834916686),PMAIP1(1.17643056041)"	"BBC3(2.4145500821),BCL2L11(1.43383708122),NGFR(2.89834916686),PMAIP1(1.17643056041)"
ko05322	Systemic lupus erythematosus	5/185	46/6035	0.012699855	0.116518226	"HIST1H2BD(1.53168629501),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"HIST1H2BD(1.53168629501),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko04151	PI3K-Akt signaling pathway	17/185	308/6035	0.012989404	0.116518226	"BCL2L11(1.43383708122),COL1A1(1.29297876392),COL6A2(2.26470762237),CREB5(1.30524183694),DDIT4(1.75172381312),FN1(1.62392348378),IL2RG(1.99337272205),IL6R(1.09981069263),ITGA7(2.14767627267),ITGB6(3.65140434079),JAK2(1.16750657076),KDR(1.90495530896),LAMA3(1.30113026142),LAMB3(1.11738505178),NGFR(2.89834916686),PCK1(1.14395641789),SPP1(2.1523980419)"	"BCL2L11(1.43383708122),COL1A1(1.29297876392),COL6A2(2.26470762237),CREB5(1.30524183694),DDIT4(1.75172381312),FN1(1.62392348378),IL2RG(1.99337272205),IL6R(1.09981069263),ITGA7(2.14767627267),ITGB6(3.65140434079),JAK2(1.16750657076),KDR(1.90495530896),LAMA3(1.30113026142),LAMB3(1.11738505178),NGFR(2.89834916686),PCK1(1.14395641789),SPP1(2.1523980419)"
ko00590	Arachidonic acid metabolism	5/185	52/6035	0.020795666	0.171618974	"CYP2C33(4.75082889348),GGT5(2.33916889137),GPX3(1.47395316409),PTGDS(1.05516181006),PTGS2(1.55532095758)"	"CYP2C33(4.75082889348),GGT5(2.33916889137),GPX3(1.47395316409),PTGDS(1.05516181006),PTGS2(1.55532095758)"
ko05416	Viral myocarditis	5/185	52/6035	0.020795666	0.171618974	"SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko04620	Toll-like receptor signaling pathway	7/185	92/6035	0.022250937	0.176566139	"CCL3L1(3.59126992356),CCL4(2.50728362427),CCL5(2.09464524107),CTSK(1.90981159593),CXCL10(1.00277704569),NFKBIA(1.17865304471),SPP1(2.1523980419)"	"CCL3L1(3.59126992356),CCL4(2.50728362427),CCL5(2.09464524107),CTSK(1.90981159593),CXCL10(1.00277704569),NFKBIA(1.17865304471),SPP1(2.1523980419)"
ko04142	Lysosome	8/185	115/6035	0.024366754	0.186194303	"ARSA(1.34963136282),ATP6V0A1(1.23163951146),CD68(3.63209113506),CTSK(1.90981159593),ENTPD4(1.01945109858),GGA1(1.07337321285),LAPTM5(1.05501210356),TPP1(1.06077329099)"	"ARSA(1.34963136282),ATP6V0A1(1.23163951146),CD68(3.63209113506),CTSK(1.90981159593),ENTPD4(1.01945109858),GGA1(1.07337321285),LAPTM5(1.05501210356),TPP1(1.06077329099)"
ko00480	Glutathione metabolism	4/185	38/6035	0.028005873	0.206359066	"ANPEP(3.66295898005),GGT5(2.33916889137),GPX3(1.47395316409),GSTA1(2.14367693497)"	"ANPEP(3.66295898005),GGT5(2.33916889137),GPX3(1.47395316409),GSTA1(2.14367693497)"
ko04510	Focal adhesion	11/185	190/6035	0.031110721	0.221332168	"COL1A1(1.29297876392),COL6A2(2.26470762237),FN1(1.62392348378),ITGA7(2.14767627267),ITGB6(3.65140434079),KDR(1.90495530896),LAMA3(1.30113026142),LAMB3(1.11738505178),PRKCG(1.39222538185),SPP1(2.1523980419),VAV3(1.33340079608)"	"COL1A1(1.29297876392),COL6A2(2.26470762237),FN1(1.62392348378),ITGA7(2.14767627267),ITGB6(3.65140434079),KDR(1.90495530896),LAMA3(1.30113026142),LAMB3(1.11738505178),PRKCG(1.39222538185),SPP1(2.1523980419),VAV3(1.33340079608)"
ko00830	Retinol metabolism	4/185	40/6035	0.033084624	0.224903369	"CYP1A1(2.36678609134),CYP2C33(4.75082889348),CYP3A22(1.19034391928),DHRS3(1.18264919367)"	"CYP1A1(2.36678609134),CYP2C33(4.75082889348),CYP3A22(1.19034391928),DHRS3(1.18264919367)"
ko05321	Inflammatiory bowel disease (IBD)	5/185	59/6035	0.033792879	0.224903369	"IL2RG(1.99337272205),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"IL2RG(1.99337272205),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko05150	Staphylococcus aureus infection	4/185	41/6035	0.035812745	0.23089796	"SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko04931	Insulin resistance	7/185	106/6035	0.043479625	0.271834336	"CREB5(1.30524183694),MGEA5(1.25091854231),MLXIP(1.00109460766),NFKBIA(1.17865304471),PCK1(1.14395641789),PTPN1(1.61543282917),SLC2A1(1.03151241193)"	"CREB5(1.30524183694),MGEA5(1.25091854231),MLXIP(1.00109460766),NFKBIA(1.17865304471),PCK1(1.14395641789),PTPN1(1.61543282917),SLC2A1(1.03151241193)"
ko00330	Arginine and proline metabolism	4/185	46/6035	0.051352775	0.31161436	"CKMT1A(1.65658822133),P4HA1(1.0696006406),SAT1(1.77266069265),SMOX(1.80759364057)"	"CKMT1A(1.65658822133),P4HA1(1.0696006406),SAT1(1.77266069265),SMOX(1.80759364057)"
ko05203	Viral carcinogenesis	9/185	160/6035	0.056584399	0.333550143	"CREB5(1.30524183694),HIST1H2BD(1.53168629501),HPN(1.61877033982),IRF9(1.22284014357),NFKBIA(1.17865304471),PMAIP1(1.17643056041),RBPJ(1.18668824508),REL(1.1516107813),SLA-1(1.08281258376)"	"CREB5(1.30524183694),HIST1H2BD(1.53168629501),HPN(1.61877033982),IRF9(1.22284014357),NFKBIA(1.17865304471),PMAIP1(1.17643056041),RBPJ(1.18668824508),REL(1.1516107813),SLA-1(1.08281258376)"
ko05166	HTLV-I infection	12/185	243/6035	0.069034829	0.395638203	"ATF3(1.17660511432),IL2RG(1.99337272205),NFKBIA(1.17865304471),SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702),SLC2A1(1.03151241193),SPI1(1.50935134992),TP53INP1(1.89390372336),WNT5A(1.1683823436)"	"ATF3(1.17660511432),IL2RG(1.99337272205),NFKBIA(1.17865304471),SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702),SLC2A1(1.03151241193),SPI1(1.50935134992),TP53INP1(1.89390372336),WNT5A(1.1683823436)"
ko05202	Transcriptional misregulation in cancers	8/185	143/6035	0.071774707	0.400223116	"CCNT2(1.75790666904),CCR7(1.84254015087),DDIT3(1.91046969244),NFKBIZ(1.1568067164),NGFR(2.89834916686),PLAT(1.06444878853),REL(1.1516107813),SPI1(1.50935134992)"	"CCNT2(1.75790666904),CCR7(1.84254015087),DDIT3(1.91046969244),NFKBIZ(1.1568067164),NGFR(2.89834916686),PLAT(1.06444878853),REL(1.1516107813),SPI1(1.50935134992)"
ko04640	Hematopoietic cell lineage	5/185	74/6035	0.075791465	0.411499366	"ANPEP(3.66295898005),CD59(2.38932235122),CD7(2.07045737415),IL6R(1.09981069263),THPO(1.15318667264)"	"ANPEP(3.66295898005),CD59(2.38932235122),CD7(2.07045737415),IL6R(1.09981069263),THPO(1.15318667264)"
ko04623	Cytosolic DNA-sensing pathway	4/185	53/6035	0.078355212	0.414510702	"CCL4(2.50728362427),CCL5(2.09464524107),CXCL10(1.00277704569),NFKBIA(1.17865304471)"	"CCL4(2.50728362427),CCL5(2.09464524107),CXCL10(1.00277704569),NFKBIA(1.17865304471)"
ko04668	TNF signaling pathway	6/185	99/6035	0.082619689	0.42559241	"CCL5(2.09464524107),CREB5(1.30524183694),CXCL10(1.00277704569),NFKBIA(1.17865304471),PTGS2(1.55532095758),TNFAIP3(1.06419717467)"	"CCL5(2.09464524107),CREB5(1.30524183694),CXCL10(1.00277704569),NFKBIA(1.17865304471),PTGS2(1.55532095758),TNFAIP3(1.06419717467)"
ko01521	EGFR tyrosine kinase inhibitor resistance	5/185	77/6035	0.086539834	0.42559241	"BCL2L11(1.43383708122),IL6R(1.09981069263),JAK2(1.16750657076),KDR(1.90495530896),PRKCG(1.39222538185)"	"BCL2L11(1.43383708122),IL6R(1.09981069263),JAK2(1.16750657076),KDR(1.90495530896),PRKCG(1.39222538185)"
ko05222	Small cell lung cancer	5/185	78/6035	0.090291747	0.42559241	"FN1(1.62392348378),LAMA3(1.30113026142),LAMB3(1.11738505178),NFKBIA(1.17865304471),PTGS2(1.55532095758)"	"FN1(1.62392348378),LAMA3(1.30113026142),LAMB3(1.11738505178),NFKBIA(1.17865304471),PTGS2(1.55532095758)"
ko00140	Steroid hormone biosynthesis	3/185	35/6035	0.090764096	0.42559241	"CYP1A1(2.36678609134),CYP2C33(4.75082889348),CYP3A22(1.19034391928)"	"CYP1A1(2.36678609134),CYP2C33(4.75082889348),CYP3A22(1.19034391928)"
ko04960	Aldosterone-regulated sodium reabsorption	3/185	35/6035	0.090764096	0.42559241	"PRKCG(1.39222538185),SCNN1A(1.4299463464),SCNN1B(2.3439237497)"	"PRKCG(1.39222538185),SCNN1A(1.4299463464),SCNN1B(2.3439237497)"
ko04514	Cell adhesion molecules (CAMs)	7/185	131/6035	0.106749258	0.489423497	"MADCAM1(1.21288923676),SDC1(1.32752189002),SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"	"MADCAM1(1.21288923676),SDC1(1.32752189002),SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702)"
ko04727	GABAergic synapse	5/185	83/6035	0.110282982	0.491745185	"GABARAPL1(1.71241442719),GABRP(2.38288943353),HAP1(1.15416786655),PRKCG(1.39222538185),SLC38A3(2.22006606819)"	"GABARAPL1(1.71241442719),GABRP(2.38288943353),HAP1(1.15416786655),PRKCG(1.39222538185),SLC38A3(2.22006606819)"
ko00770	Pantothenate and CoA biosynthesis	2/185	19/6035	0.11374641	0.491745185	"PANK4(1.18792002901),VNN2(1.18943084997)"	"PANK4(1.18792002901),VNN2(1.18943084997)"
ko04145	Phagosome	7/185	134/6035	0.116579196	0.491745185	"ATP6V0A1(1.23163951146),SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702),TAP1(1.0321993922)"	"ATP6V0A1(1.23163951146),SLA-1(1.08281258376),SLA-DMB(1.77858454379),SLA-DOA(1.52150469223),SLA-DQA1(3.7757524835),SLA-DQB1(2.97560597702),TAP1(1.0321993922)"
ko04062	Chemokine signaling pathway	8/185	160/6035	0.117455602	0.491745185	"CCL3L1(3.59126992356),CCL4(2.50728362427),CCL5(2.09464524107),CCR7(1.84254015087),CXCL10(1.00277704569),JAK2(1.16750657076),NFKBIA(1.17865304471),VAV3(1.33340079608)"	"CCL3L1(3.59126992356),CCL4(2.50728362427),CCL5(2.09464524107),CCR7(1.84254015087),CXCL10(1.00277704569),JAK2(1.16750657076),NFKBIA(1.17865304471),VAV3(1.33340079608)"
ko04622	RIG-I-like receptor signaling pathway	4/185	62/6035	0.121437627	0.491745185	"CXCL10(1.00277704569),DHX58(1.44880974641),ISG15(1.90446638999),NFKBIA(1.17865304471)"	"CXCL10(1.00277704569),DHX58(1.44880974641),ISG15(1.90446638999),NFKBIA(1.17865304471)"
ko02010	ABC transporters	3/185	40/6035	0.122947737	0.491745185	"ABCA7(1.11112020461),ABCG1(1.39028955278),TAP1(1.0321993922)"	"ABCA7(1.11112020461),ABCG1(1.39028955278),TAP1(1.0321993922)"
ko04964	Proximal tubule bicarbonate reclamation	2/185	20/6035	0.123939858	0.491745185	"PCK1(1.14395641789),SLC38A3(2.22006606819)"	"PCK1(1.14395641789),SLC38A3(2.22006606819)"
ko05146	Amoebiasis	5/185	88/6035	0.132232603	0.513280656	"COL1A1(1.29297876392),FN1(1.62392348378),LAMA3(1.30113026142),LAMB3(1.11738505178),PRKCG(1.39222538185)"	"COL1A1(1.29297876392),FN1(1.62392348378),LAMA3(1.30113026142),LAMB3(1.11738505178),PRKCG(1.39222538185)"
ko04977	Vitamin digestion and absorption	2/185	21/6035	0.134343355	0.513280656	"APOA4(1.16246955417),SLC19A3(1.01318361229)"	"APOA4(1.16246955417),SLC19A3(1.01318361229)"
ko04330	Notch signaling pathway	3/185	43/6035	0.143978359	0.530446586	"DLL1(1.9356812051),DLL4(3.42203822861),RBPJ(1.18668824508)"	"DLL1(1.9356812051),DLL4(3.42203822861),RBPJ(1.18668824508)"
ko04962	Vasopressin-regulated water reabsorption	3/185	43/6035	0.143978359	0.530446586	"AQP3(1.70249906343),AVP(1.01656473003),CREB5(1.30524183694)"	"AQP3(1.70249906343),AVP(1.01656473003),CREB5(1.30524183694)"
