id	Description	Significant	Annotated	Pvalue	Qvalue	Signi_id	Signi_symbol
ko04110	Cell cycle	8/82	118/6035	0.000179506	0.023430267	"CDC45(-1.28226256208),MCM2(-1.05686833678),MCM4(-1.07175698074),MCM5(-1.21352311106),PKMYT1(-1.20283180517),TFDP1(-1.04612040224),TP53(-1.04246245874),YWHAB(-1.1081852553)"	"CDC45(-1.28226256208),MCM2(-1.05686833678),MCM4(-1.07175698074),MCM5(-1.21352311106),PKMYT1(-1.20283180517),TFDP1(-1.04612040224),TP53(-1.04246245874),YWHAB(-1.1081852553)"
ko04111	Cell cycle - yeast	5/82	68/6035	0.002184974	0.092801958	"CDC45(-1.28226256208),MCM2(-1.05686833678),MCM4(-1.07175698074),MCM5(-1.21352311106),PPP2R2B(-1.3242111515)"	"CDC45(-1.28226256208),MCM2(-1.05686833678),MCM4(-1.07175698074),MCM5(-1.21352311106),PPP2R2B(-1.3242111515)"
ko00270	Cysteine and methionine metabolism	4/82	41/6035	0.002187968	0.092801958	"ADI1(-1.28636335703),CBS(-1.01212958016),DNMT1(-1.03878475039),MTAP(-1.20541145849)"	"ADI1(-1.28636335703),CBS(-1.01212958016),DNMT1(-1.03878475039),MTAP(-1.20541145849)"
ko05130	Pathogenic Escherichia coli infection	4/82	44/6035	0.002843931	0.092801958	"NCL(-1.13381080357),TUBA1A(-1.19452850202),TUBA1B(-1.42175427814),TUBB6(-2.06869460662)"	"NCL(-1.13381080357),TUBA1A(-1.19452850202),TUBA1B(-1.42175427814),TUBB6(-2.06869460662)"
ko04113	Meiosis - yeast	4/82	56/6035	0.006804437	0.163130648	"CDC45(-1.28226256208),MCM2(-1.05686833678),MCM4(-1.07175698074),MCM5(-1.21352311106)"	"CDC45(-1.28226256208),MCM2(-1.05686833678),MCM4(-1.07175698074),MCM5(-1.21352311106)"
ko04391	Hippo signaling pathway -fly	4/82	59/6035	0.008177176	0.163130648	"NF2(-1.01556341299),PARD6G(-1.20408465754),PPP2R2B(-1.3242111515),YWHAB(-1.1081852553)"	"NF2(-1.01556341299),PARD6G(-1.20408465754),PPP2R2B(-1.3242111515),YWHAB(-1.1081852553)"
ko00240	Pyrimidine metabolism	5/82	94/6035	0.008748539	0.163130648	"DCTPP1(-1.22637345395),NME1(-1.21867960398),NT5C(-1.12982022),PNP(-1.001806572),TK1(-1.35056787977)"	"DCTPP1(-1.22637345395),NME1(-1.21867960398),NT5C(-1.12982022),PNP(-1.001806572),TK1(-1.35056787977)"
ko03030	DNA replication	3/82	35/6035	0.011573621	0.181344059	"MCM2(-1.05686833678),MCM4(-1.07175698074),MCM5(-1.21352311106)"	"MCM2(-1.05686833678),MCM4(-1.07175698074),MCM5(-1.21352311106)"
ko00260	"Glycine, serine and threonine metabolism"	3/82	36/6035	0.012503965	0.181344059	"CBS(-1.01212958016),PHGDH(-1.67754790362),PSAT1(-1.160806947)"	"CBS(-1.01212958016),PHGDH(-1.67754790362),PSAT1(-1.160806947)"
ko04310	Wnt signaling pathway	5/82	137/6035	0.038001982	0.47766486	"MMP7(-1.38184954224),NKD2(-1.14121586089),RUVBL1(-1.23400730889),TP53(-1.04246245874),WIF1(-1.59066782327)"	"MMP7(-1.38184954224),NKD2(-1.14121586089),RUVBL1(-1.23400730889),TP53(-1.04246245874),WIF1(-1.59066782327)"
